Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6160712,Ellen Brook - Avon Confluence,-31.79572,116.0047
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6161013,Susannah Brook Upper - Unnamed,-31.82076878,116.1276349
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6161989,Canning River - SWS6 Old McKenzie Gr,-32.0963127,116.0171315
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6162924,Bickley Brook - Boyle Rd,-32.03350011,116.0056991
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6162925,Blackadder Creek - Francis Street Midland,-31.87615047,116.0172984
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6163143,Bennett Brook Main Drain - Benara Rd,-31.87541667,115.9569088
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6163625,Henley Brook - West Swan Rd,-31.80060992,115.9994764
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6163713,Claisebrook Main Drain - Soakway,-31.95268023,115.8802039
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6164314,Ellen Brook - West Swan Road Belhus,-31.78947681,116.0039469
Department of Water and Environmental Regulation,DWER,Swan Catchment Sampling,SWANCATCH,WQ GRAB; HYDRO Flow,6164462,South Belmont Main Drain - Severin Walk Abernethy Rd Be,-31.94903072,115.9197317
